citation_ref,entry_type,domain,age_min_months,age_max_months,description,severity,cross_check_domain,suggested_follow_up_question,source,phase_scope,provenance
SL-M-001,milestone,Speech_Language,0,6,Coos,,,,NIDCD; ASHA,in scope,Added in validation
SL-M-002,milestone,Speech_Language,0,6,Startles or reacts to loud sound,,Hearing,,NIDCD; ASHA; CDC 2-mo,in scope,Added in validation
SL-M-003,milestone,Speech_Language,0,6,Different cries for different needs,,,,NIDCD; ASHA,in scope,Added in validation
SL-M-004,milestone,Speech_Language,0,6,Smiles or quiets to a familiar voice,,,,CDC 2-mo/4-mo,in scope,Added in validation
SL-M-005,milestone,Speech_Language,4,6,"Speech-like babble (pa, ba, mi) by 4–6 months",,,,NIDCD; ASHA,in scope,Added in validation
SL-RF-001,red_flag,Speech_Language,0,6,No reaction to loud sound,HIGH,Hearing,"Does he react at all to a sudden loud sound, even without turning his head?",JCIH 2019; ASHA,in scope,Added in validation
SL-RF-002,red_flag,Speech_Language,0,6,No social smile or engagement by 6 months,MODERATE,,,CDC 6-mo,in scope,Added in validation
SL-M-006,milestone,Speech_Language,6,12,Canonical babbling (bababa) by ~7–9 months,,Hearing,Does he babble strings of sounds like 'ba-ba-ba' on his own?,CDC; NIDCD; ASHA,in scope,Added in validation
SL-M-007,milestone,Speech_Language,9,12,Responds to own name by ~9–12 months,,Hearing,"Does he turn when you call his name, even from behind?",CDC 12-mo; ASHA,in scope,Added in validation
SL-M-008,milestone,Speech_Language,6,12,"Uses gestures — points, waves — by 12 months",,,"Does he point or wave to communicate, even without words?",CDC 12-mo,in scope,Added in validation
SL-M-009,milestone,Speech_Language,6,12,One to two meaningful words by ~12 months,,,,NIDCD; ASHA,in scope,Added in validation
SL-M-010,milestone,Speech_Language,6,12,Understands 'no' and 'bye-bye',,,,NIDCD; ASHA,in scope,Added in validation
SL-RF-003,red_flag,Speech_Language,12,12,No babbling by 12 months,HIGH,Hearing,,CDC 12-mo red flag,in scope,Added in validation
SL-RF-004,red_flag,Speech_Language,12,12,"No gestures (pointing, waving) by 12 months",HIGH,,,CDC 12-mo red flag,in scope,Added in validation
SL-RF-005,red_flag,Speech_Language,12,12,No response to own name by 12 months,HIGH,Hearing,"Does he respond when called from behind, out of sight?",CDC; ASHA,in scope,Added in validation
SL-M-011,milestone,Speech_Language,15,18,Tries at least 1–2 words besides mama/dada by 15 months (CDC 75th percentile),,,,CDC 15-mo (75th pct),in scope,Ayesha original
SL-M-012,milestone,Speech_Language,18,18,At least 3 words by 18 months (CDC 75th percentile),,,Roughly how many words does he use — even a rough guess?,CDC 18-mo (75th pct),in scope,Ayesha original — CORRECTED
SL-M-013,milestone,Speech_Language,12,18,Follows a one-step direction accompanied by a gesture,,,,ASHA,in scope,Ayesha original
SL-M-014,milestone,Speech_Language,12,18,Points to show interest,,,"Does he try to point or gesture to ask for things, even without words?",CDC; ASHA,in scope,Ayesha original
SL-RF-006,red_flag,Speech_Language,16,16,No words by 16 months,HIGH,Hearing,,ASHA; late-talker literature,in scope,Ayesha original — CORRECTED
SL-RF-007,red_flag,Speech_Language,12,18,No pointing or gesturing to communicate,HIGH,,,CDC 12-mo; ASHA,in scope,Ayesha original
SL-RF-008,red_flag,Speech_Language,12,18,Regression — loss of previously acquired words or skills,HIGH,,Has he lost any words or skills he used to have?,CDC 'Learn the Signs. Act Early.',in scope,Added in validation
SL-M-015,milestone,Speech_Language,18,18,"Vocabulary approaching ~50 words at ~18 months — this is an AVERAGE with a very wide normal range, not a cutoff",,,,MacArthur-Bates CDI norms (Fenson et al. 2007),in scope,Ayesha original — CORRECTED
SL-M-016,milestone,Speech_Language,24,24,Roughly 200–300 words by 24 months,,,,MacArthur-Bates CDI norms,in scope,Added in validation
SL-M-017,milestone,Speech_Language,18,24,Begins combining two words by ~24 months,,,"Does she put two words together, like 'more juice' or 'go outside'?",Rescorla; Paul; ASHA LLE,in scope,Ayesha original
SL-M-018,milestone,Speech_Language,18,24,Follows simple commands without gestures,,,Does she understand simple instructions without you gesturing?,ASHA,in scope,Ayesha original
SL-RF-009,red_flag,Speech_Language,24,24,No two-word phrases by 24 months,HIGH,,,Rescorla 1989; Paul 1991; ASHA LLE,in scope,Ayesha original — CORRECTED
SL-RF-010,red_flag,Speech_Language,24,24,"Fewer than 50 words at 24 months — 'late talker' threshold; monitor, do not over-refer (roughly 70–80% resolve)",MODERATE,,,Rescorla 1989; Paul 1991; ASHA LLE,in scope,Ayesha original — CORRECTED
SL-RF-011,red_flag,Speech_Language,18,24,Regression — loss of previously acquired skills,HIGH,,,CDC 'Learn the Signs. Act Early.',in scope,Added in validation
SL-M-019,milestone,Speech_Language,24,36,Roughly 50–75% intelligible to unfamiliar listeners,,,,Coplan & Gleason 1988; Flipsen 2006 (parent-report based),in scope,Added in validation
SL-M-020,milestone,Speech_Language,24,36,Uses 2–4 word sentences,,,"When she talks, does she use short sentences or mostly single words?",CDC 30-mo/3-yr; ASHA,in scope,Ayesha original
SL-M-021,milestone,Speech_Language,24,36,Follows two-step directions,,,,CDC; ASHA,in scope,Added in validation
SL-M-022,milestone,Speech_Language,30,30,Roughly 450 words by 30 months,,,,MacArthur-Bates CDI norms,in scope,Added in validation
SL-RF-012,red_flag,Speech_Language,36,36,Speech not intelligible to a FAMILIAR caretaker by 3 years — note: difficulty being understood by unfamiliar staff at this age is within normal limits and is NOT this flag,HIGH,Hearing,,Coplan & Gleason; Flipsen; ASHA,in scope,Ayesha original — CORRECTED
SL-RF-013,red_flag,Speech_Language,24,36,Still no two-word phrases,HIGH,Hearing,,Rescorla; Paul,in scope,Ayesha original
